#airframe_info, log_version="1.00", airframe_name="Cessna 172R", unit_software_part_number="006-B0319-BD", unit_software_version="13.11", system_software_part_number="006-B0563-35", system_id="27D9FE27E", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/19, 09:51:42,  +08:00,  SNVOR,30.4718781,105.6099472,888.3,29.77,907.6,23.2,61.8,63.43,41.47,2.61,-0.07,0.01,0.03,126.6,125.9,28,27.9,0.6,0.1,24.01,24.01,14.55,184.15,71.56,2205.4,264.51,273.95,289.81,288.07,1148.55,1067.3,1151.38,1107.51,770.8,64, NAV1,125,111.6,111.6,129.75,128.5,2.678,       ,2.13,-24.1,0.3,158.4,-2.7,       ,      ,       ,      ,      ,-3.9,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:43,  +08:00,  SNVOR,30.4717102,105.6102448,888.3,29.77,907.6,23.2,61.46,65.37,14.19,3.98,-0.05,-0.04,-0.02,126.5,126.2,28,27.9,0.6,0.1,23.48,24.01,14.62,184.23,71.79,2202.9,264.28,273.82,289.74,287.94,1155.3,1064.81,1155.73,1122.34,770.8,63, NAV1,125,111.6,111.6,129.75,128.5,2.794,       ,2.15,-27.3,0.3,160.5,-2.7,       ,      ,       ,      ,      ,-3.9,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:44,  +08:00,  SNVOR,30.4715366,105.6105499,888.3,29.77,907.5,23.2,62.7,67.3,-1.08,5.06,0.07,-0.04,-0.04,125.6,126.2,28,27.9,0.6,0.1,23.72,24.01,14.58,184.32,71.47,2205.9,264.13,273.79,289.7,287.81,1160.81,1091.45,1160.06,1134.82,770.6,65, NAV1,125,111.6,111.6,129.75,128.5,2.938,       ,2.16,-30.4,0.3,162.9,-2.7,       ,      ,       ,      ,      ,-7.9,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:45,  +08:00,  SNVOR,30.4713631,105.6108551,892.3,29.77,908.2,23.2,66.62,69.06,60.58,7.33,2.3,-0.07,0.07,124.6,125.6,28,27.9,0.6,0.1,24.01,24.01,14.89,184.4,71.71,2213.8,263.94,273.79,289.74,287.78,1165.35,1105.66,1165.26,1145.76,771.4,69, NAV1,125,111.6,111.6,129.75,128.5,3.215,       ,2.16,-33.2,0.2,165.6,-2.7,       ,      ,       ,      ,      ,31.5,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:46,  +08:00,  SNVOR,30.4711857,105.6111755,901.3,29.77,912.3,23.2,70.7,70.31,223.57,7.82,1.3,-0.01,0.02,126.4,125.2,28,27.9,0.7,0.2,       ,23.53,14.67,184.47,71.52,2219.9,263.82,273.8,289.8,287.75,1169.97,1105.53,1169.63,1153.44,775.5,73, NAV1,125,111.6,111.6,129.75,128.5,3.42,       ,2.16,-35.6,0.2,168.8,-2.7,       ,      ,       ,      ,      ,220.5,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:47,  +08:00,  SNVOR,30.4710102,105.611496,902.3,29.77,918.8,23.2,71.41,70.99,228.99,8.34,-1.82,0.02,0.03,128.6,125.1,28,27.9,0.7,0.1,24.01,23.39,14.53,184.53,71.93,2228.6,263.56,273.75,289.75,287.64,1174.16,1093.84,1173.54,1161.86,781.9,74, NAV1,125,111.6,111.6,129.75,128.5,3.737,       ,2.13,-37.6,0.2,172.5,-2.7,       ,      ,       ,      ,      ,358.3,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:48,  +08:00,  SNVOR,30.4708328,105.611824,906.3,29.77,926.2,23.2,73.26,71.46,213.41,8.7,-0.12,-0.03,-0.03,126.2,125,28,27.9,0.6,0.1,24.01,24.01,14.46,184.56,71.76,2229.1,263.54,273.97,289.96,287.76,1177.96,1131.98,1176.44,1168.04,789.3,76, NAV1,125,111.6,111.6,129.75,128.5,4.057,       ,2.06,-39.7,0.2,176.6,-2.7,       ,      ,       ,      ,      ,433.1,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:49,  +08:00,  SNVOR,30.4706554,105.6121521,921.3,29.77,932.7,23.2,72.53,71.77,415.51,8.82,1.64,-0.1,0.04,123,124.5,28,27.9,0.6,0.1,24.01,24.01,14.49,184.59,71.78,2232.1,263.44,274.16,290.14,287.88,1180.5,1122.66,1178.9,1174.31,795.9,75, NAV1,125,111.6,111.6,129.75,128.5,4.405,       ,1.94,-42.1,0.2,-178.4,-2.7,       ,      ,       ,      ,      ,393.7,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:50,  +08:00,  SNVOR,30.4704857,105.6124802,930.3,29.77,939.3,23.2,72.98,72,534.85,9.55,2.71,-0.05,0.06,123.2,124,28,27.9,0.6,0.1,24.01,23.08,14.56,184.6,71.58,2225.1,263.28,274.19,290.2,287.84,1182.36,1127.19,1180.61,1179.37,802.5,75, NAV1,125,111.6,111.6,129.75,128.5,4.828,       ,1.8,-44.5,0.2,-173.1,-2.7,       ,      ,       ,      ,      ,393.7,     3D,3704,      ,       ,107.5,       
2023/4/19, 09:51:51,  +08:00,  SNVOR,30.4703083,105.6128159,934.3,29.77,946.9,23.2,71.62,72.14,473.07,9.76,1.58,-0.06,0.01,124,124.2,28,27.9,0.6,0.1,24.01,22.79,14.73,184.6,71.37,2221.4,263.26,274.52,290.53,288.07,1183.94,1139.01,1182.84,1183.91,810,74, NAV1,125,111.6,111.6,129.75,128.5,5.285,       ,1.63,-46.5,0.2,-167.1,-2.7,       ,      ,       ,      ,      ,444.9,     3D,3704,      ,       ,107.5,       
