#airframe_info, log_version="1.00", airframe_name="Cessna 172R", unit_software_part_number="006-B0319-BD", unit_software_version="13.11", system_software_part_number="006-B0563-35", system_id="27D9FE27E", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/18, 13:15:18,  +08:00,  SNVOR,30.4702911,105.6127319,882.5,29.71,912.8,26.2,41.6,44.83,-8.77,3.08,0.34,0,0,305.6,306.8,28.1,28.1,0.7,0.1,17.97,22.21,12.66,183.09,70.34,1952.5,300.13,303.37,312.2,330.33,971.44,1059.34,1025.78,1080.94,776,43, NAV1,305,111.6,111.6,129.75,128.5,-7.066,       ,3.23,-162.7,0.2,-168.4,-2.7,       ,      ,       ,      ,      ,11.8, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:19,  +08:00,  SNVOR,30.4704132,105.6125259,885.5,29.71,914.2,26.2,45.92,46.87,23.97,2.74,0.47,-0.09,-0.02,304.9,306.8,28.1,28.1,0.6,0.1,18.07,22.3,14.69,183.06,73.13,2324.9,299.8,303.14,311.89,330.03,1020.01,1089.87,1059.7,1110.51,777.3,48, NAV1,305,111.6,111.6,129.75,128.5,-6.661,       ,3.15,-166.8,0.2,-172.3,-2.7,       ,      ,       ,      ,      ,19.7, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:20,  +08:00,  SNVOR,30.4705391,105.6122894,889.5,29.71,915.1,26.2,49.78,49.57,112.18,2.66,0.23,0.01,-0.08,305,305.9,28.1,28.1,0.6,0.1,18.07,22.45,14.7,183.08,73.15,2404.3,299.5,302.88,311.6,329.78,1064.28,1118.72,1091.61,1135.72,778.3,52, NAV1,305,111.6,111.6,129.75,128.5,-6.289,       ,3.07,-170.3,0.2,-176.2,-2.7,       ,      ,       ,      ,      ,3.9, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:21,  +08:00,  SNVOR,30.4706764,105.6120605,888.5,29.71,915.3,26.2,53.35,52.33,84.06,2.83,0.56,0.03,-0.02,306,306.4,28.2,28.1,0.6,0,18.12,22.68,14.77,183.11,73.13,2421.6,299.27,302.69,311.37,329.56,1101.72,1145.67,1120.37,1156.19,778.4,55, NAV1,305,111.6,111.6,129.75,128.5,-5.967,       ,2.98,-173.1,0.2,-179.9,-2.7,       ,      ,       ,      ,      ,3.9, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:22,  +08:00,  SNVOR,30.4708233,105.6118164,887.5,29.71,915.3,26.2,54.65,55.05,32,3.11,0.46,-0.05,-0.03,305.2,306.8,28.1,28.1,0.6,0,18.17,22.89,14.83,183.16,73.49,2410.4,299.13,302.51,311.22,329.39,1132.86,1168.21,1144.22,1176.93,778.5,57, NAV1,305,111.6,111.6,129.75,128.5,-5.631,       ,2.88,-175.3,0.2,176.5,-2.7,       ,      ,       ,      ,      ,3.9, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:23,  +08:00,  SNVOR,30.4709702,105.611557,885.5,29.71,915.4,26.2,56.17,57.62,-13.66,5.49,0.68,-0.03,-0.06,304.8,306.2,28.2,28.2,0.6,0,18.2,22.89,14.95,183.26,73.44,2413.3,299.04,302.38,311.14,329.28,1155.03,1188.3,1164.22,1194.2,778.6,58, NAV1,305,111.6,111.6,129.75,128.5,-5.279,       ,2.77,-176.9,0.2,173.2,-2.7,       ,      ,       ,      ,      ,0, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:24,  +08:00,  SNVOR,30.4711246,105.6112823,877.5,29.71,915.7,26.2,56.2,60.01,-175.87,9.13,2.35,0.01,0.1,304.7,305.9,28.2,28.2,0.6,0,18.05,23.05,14.83,183.38,73.18,2431.5,299.04,302.29,311.09,329.21,1177.3,1205.27,1180.25,1209.38,778.9,58, NAV1,305,111.6,111.6,129.75,128.5,-4.903,       ,2.67,-178.2,0.2,170,-2.7,       ,      ,       ,      ,      ,15.7, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:25,  +08:00,  SNVOR,30.4712849,105.6110001,880.5,29.71,917.9,26.2,57.02,62.01,-167.09,9.74,1.35,-0.06,0.08,302.9,306.2,28.2,28.2,0.6,0,18,23.35,14.79,183.51,73.34,2432.1,299.1,302.26,311.1,329.19,1193.82,1219.18,1193.39,1221.31,781.1,59, NAV1,305,111.6,111.6,129.75,128.5,-4.638,       ,2.57,-179.4,0.2,167,-2.7,       ,      ,       ,      ,      ,145.7, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:26,  +08:00,  SNVOR,30.4714489,105.6107254,892.5,29.71,921.2,26.2,61.37,63.49,127.38,8.78,-0.25,0,-0.06,302.5,306.1,28.2,28.1,0.6,0,18,23.56,14.94,183.62,72.67,2438.2,299.21,302.27,311.18,329.22,1208.59,1231.06,1203.6,1230.66,784.4,64, NAV1,305,111.6,111.6,129.75,128.5,-4.365,       ,2.49,179.7,0.2,164.4,-2.7,       ,      ,       ,      ,      ,263.8, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:27,  +08:00,  SNVOR,30.4716129,105.6104279,898.5,29.71,924.9,26.2,63.02,64.83,299.62,8.76,2.66,0,-0.01,302.6,305.7,28.2,28.2,0.6,0,18.05,23.64,14.93,183.74,73.1,2442.8,299.39,302.34,311.3,329.28,1219.03,1240.64,1212.43,1238.54,788.1,66, NAV1,305,111.6,111.6,129.75,128.5,-4.088,       ,2.43,179.3,0.3,162,-2.7,       ,      ,       ,      ,      ,236.2, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:28,  +08:00,  SNVOR,30.4717789,105.6101379,904.5,29.71,929.1,26.2,64.89,66.09,348.75,9.23,4.53,0,-0.02,302.9,306,28.2,28.2,0.6,0,18.07,23.71,14.93,183.84,73.37,2441.3,299.61,302.44,311.47,329.37,1226.86,1248.62,1220.53,1246.37,792.2,67, NAV1,305,111.6,111.6,129.75,128.5,-3.843,       ,2.38,179.6,0.3,159.7,-2.7,       ,      ,       ,      ,      ,252, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:29,  +08:00,  SNVOR,30.4719543,105.6098328,909.5,29.71,933.9,26.2,65.62,67.16,349.02,9.34,0.46,-0.05,0.03,302.7,306.5,28.2,28.1,0.6,0,18.1,23.81,14.88,183.95,73.11,2448,299.79,302.5,311.6,329.43,1235.33,1256,1227.55,1252.94,797,68, NAV1,305,111.6,111.6,129.75,128.5,-3.619,       ,2.33,-179.5,0.3,157.8,-2.7,       ,      ,       ,      ,      ,295.3, 3DDiff,3704,      ,48,64,82
2023/4/18, 13:15:30,  +08:00,  SNVOR,30.4721317,105.6095276,914.5,29.71,938.6,26.2,66.23,68.15,332.43,8.55,0.51,-0.01,-0.05,303.6,306.4,28.1,28.2,0.6,0,18.4,23.81,14.97,184.04,72.55,2448.5,300.06,302.67,311.84,329.55,1242,1262.45,1232.82,1258.37,801.8,69, NAV1,305,111.6,111.6,129.75,128.5,-3.406,       ,2.3,-178,0.3,155.9,-2.7,       ,      ,       ,      ,      ,291.3, 3DDiff,3704,      ,48,64.5,82
