#airframe_info, log_version="1.01", airframe_name="Cessna 172S", unit_software_part_number="006-B1177-69", unit_software_version="20.83", system_software_part_number="006-B2501-10", system_id="25BA2E6F4", mode=NORMAL, flightstream_header="25BA2E6F4_20000101_000000", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/24, 11:10:14,  +08:00,       ,30.4709148,105.6115646,938.2,30.21,943.5,13,67.98,68.17,416.61,8.62,-0.52,-0.03,-0.16,124.9,126.9,28.1,28.1,0.3,0,21.91,24,15.15,151.24,76.81,2431.6,252.09,246.25,247.61,268.17,1182.63,1168.53,1151.01,1137.34,806.6,69, NAV1,125,111.6,111.6,129.75,128.5,3.818,       ,3.57,-89.3,       ,       ,-2.7,       ,      ,       ,      ,      ,602.4, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:15,  +08:00,       ,30.4707336,105.6118622,946.2,30.21,950.9,13,68.97,68.99,450.83,9.64,1.34,0.07,0,125.4,127.2,28.1,28.1,0.3,0,22.45,24,15.2,151.26,76.09,2433.1,251.91,246.24,247.5,268.06,1195.98,1185.27,1165.41,1154.63,814,70, NAV1,125,111.6,111.6,129.75,128.5,4.188,       ,3.45,-87.5,       ,       ,-2.7,       ,      ,       ,      ,      ,468.5, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:16,  +08:00,       ,30.4705467,105.6121674,953.2,30.21,958.1,13,68.33,69.88,442.83,9.15,-2.22,0,-0.08,124.4,127.6,28.1,28.1,0.3,0,22.89,24,15.18,151.29,76.8,2436.4,251.79,246.3,247.46,268.02,1208.85,1198.32,1177.55,1169.47,821.2,69, NAV1,125,111.6,111.6,129.75,128.5,4.56,       ,3.3,-85.5,       ,       ,-2.7,       ,      ,       ,      ,      ,440.9, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:17,  +08:00,       ,30.4703617,105.6124878,965.2,30.21,965.7,13,68.14,70.95,513.81,8.42,-1.25,-0.01,0.02,123.8,127.4,28.1,28.1,0.3,0,23.05,24,15.23,151.32,76.88,2428,251.76,246.43,247.46,268.04,1218.7,1209.75,1187.02,1182.25,828.8,69, NAV1,125,111.6,111.6,129.75,128.5,5.005,       ,3.14,-83,       ,       ,-2.7,       ,      ,       ,      ,      ,413.4, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:18,  +08:00,       ,30.470171,105.6128082,974.2,30.21,972.5,13,69.39,72.08,553.77,8.55,-0.09,0.01,0,124.6,127.2,28.1,28.1,0.3,0,23.05,24,15.14,151.34,76.74,2426,251.75,246.61,247.53,268.13,1226.76,1219.1,1194.82,1193.33,835.6,70, NAV1,125,111.6,111.6,129.75,128.5,5.492,       ,2.97,-79.8,       ,       ,-2.7,       ,      ,       ,      ,      ,397.6, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:19,  +08:00,       ,30.4699802,105.6131363,980.2,30.21,980.5,13,69.95,73.24,498.47,8.4,0.11,0.01,0.07,125.5,127.1,28.1,28.1,0.3,0,23.12,24,15.13,151.37,75.85,2421,251.82,246.85,247.67,268.25,1233.48,1227.61,1201.53,1202.1,843.6,71, NAV1,125,111.6,111.6,129.75,128.5,6.008,       ,2.82,-76.1,       ,       ,-2.7,       ,      ,       ,      ,      ,437, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:20,  +08:00,       ,30.4697857,105.6134644,984.2,30.21,990.4,13,72.32,74.2,425.32,8.81,-1.94,0.06,-0.02,127.6,127,28.1,28.1,0.3,0,23.12,24,15.14,151.39,76.69,2436,251.92,247.14,247.83,268.44,1238.55,1235.63,1207.06,1210.38,853.5,73, NAV1,125,111.6,111.6,129.75,128.5,6.601,       ,2.67,-72,       ,       ,-2.7,       ,      ,       ,      ,      ,570.9, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:21,  +08:00,       ,30.4695873,105.6137924,987.2,30.21,999.5,13,70.99,74.94,283.36,9.54,-0.19,0.02,-0.04,126.7,127.3,28.1,28.1,0.3,0,23.08,24,15.3,151.42,76.58,2439.6,252.08,247.47,248.07,268.67,1244.57,1242.59,1211.85,1217.58,862.6,72, NAV1,125,111.6,111.6,129.75,128.5,7.266,       ,2.55,-67.9,       ,       ,-2.7,       ,      ,       ,      ,      ,543.3, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:22,  +08:00,       ,30.4693851,105.6141205,1001.2,30.21,1007.8,13,71.66,75.54,392.54,9.38,-1.11,0.01,0.04,124.6,127.9,28.1,28.1,0.3,0,23.01,24,15.25,151.44,77.12,2451,252.28,247.87,248.34,268.92,1250.01,1247.83,1216.27,1224.74,870.9,72, NAV1,125,111.6,111.6,129.75,128.5,7.99,       ,2.46,-63.6,       ,       ,-2.7,       ,      ,       ,      ,      ,496.1, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:23,  +08:00,       ,30.4691811,105.6144562,1016.2,30.21,1016,13,73.3,76.08,616.92,8.76,-0.67,0.01,0.01,124,127.7,28.1,28.1,0.3,0,22.89,24,15.2,151.45,76.7,2443,252.53,248.28,248.67,269.22,1253.83,1252.35,1219.63,1231.53,879.1,74, NAV1,125,111.6,111.6,129.75,128.5,8.766,       ,2.39,-58.8,       ,       ,-2.7,       ,      ,       ,      ,      ,539.4, 3DDiff,3704,      ,60,60.5,73
2023/4/24, 11:10:24,  +08:00,       ,30.4689751,105.6147919,1026.2,30.21,1024,13,73.52,76.74,675.11,9.23,2.14,0.01,0,123.7,127.7,28.1,28.1,0.3,0,22.89,24,15.26,151.46,76.43,2452.9,252.82,248.76,249.06,269.55,1258.08,1256.36,1223.54,1236.73,887.1,74, NAV1,125,111.6,111.6,129.75,128.5,8.468,       ,2.35,-53.3,       ,       ,-2.7,       ,      ,       ,      ,      ,500, 3DDiff,3704,      ,60,60.5,73
2023/4/24, 11:10:25,  +08:00,       ,30.4687672,105.6151276,1036.2,30.21,1031.3,13,74.25,77.33,653.35,8.94,-1.4,-0.01,-0.06,123.6,128,28.1,28.1,0.3,0,22.87,24,15.28,151.47,76.37,2451.6,253.15,249.26,249.47,269.92,1261.49,1260.17,1226.94,1241.2,894.4,75, NAV1,125,111.6,111.6,129.75,128.5,7.69,       ,2.33,-47.3,       ,       ,-2.7,       ,      ,       ,      ,      ,488.2, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:26,  +08:00,       ,30.4685593,105.6154709,1044.2,30.21,1039.1,13,73.77,77.93,602.1,8.61,-1.94,0.01,-0.07,122.7,127.7,28.1,28.1,0.3,0,22.82,24,15.26,151.47,76.62,2444.6,253.51,249.78,249.92,270.31,1263.94,1263.88,1230.65,1245.99,902.2,75, NAV1,125,111.6,111.6,129.75,128.5,6.933,       ,2.35,-40.9,       ,       ,-2.7,       ,      ,       ,      ,      ,476.4, 3DDiff,3704,      ,60,60,73
2023/4/24, 11:10:27,  +08:00,       ,30.4683514,105.6158142,1055.2,30.21,1046,13,75.16,78.57,585.8,8.65,0.13,-0.04,-0.04,121.3,127.3,28.1,28.1,0.3,0,22.8,24,15.34,151.47,76.58,2455.9,253.9,250.34,250.41,270.73,1266.25,1266.77,1233.09,1250.13,909.1,76, NAV1,125,111.6,111.6,129.75,128.5,6.26,       ,2.42,-34.4,       ,       ,-2.7,       ,      ,       ,      ,      ,425.2, 3DDiff,3704,      ,60,60,73
