#airframe_info, log_version="1.01", airframe_name="Cessna 172S", unit_software_part_number="006-B1177-69", unit_software_version="20.83", system_software_part_number="006-B2501-10", system_id="25BA2E6F4", mode=NORMAL, flightstream_header="25BA2E6F4_20000101_000000", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/24, 10:57:00,  +08:00,       ,30.4710445,105.6113281,922.2,30.21,931.3,13,65.47,67.04,357.78,12.22,0.69,0.01,0.07,125.4,127.5,28.1,28.1,0.3,0,23.43,24,15.23,151.45,76.8,2421,256.91,251.68,251.91,272.42,1167.85,1142.3,1146.85,1108.13,794.5,66, NAV1,125,111.6,111.6,129.75,128.5,3.634,       ,3.81,-66,       ,       ,-2.7,       ,      ,       ,      ,      ,389.8, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:01,  +08:00,       ,30.4708672,105.6116257,934.2,30.21,941.4,13,66.17,67.67,474.25,9.9,1.34,0,-0.12,122.8,127.9,28.1,28.1,0.3,0,23.75,24,15.11,151.45,77.03,2424.9,256.69,251.61,251.72,272.26,1185.26,1163.19,1164.03,1131.23,804.6,67, NAV1,125,111.6,111.6,129.75,128.5,3.923,       ,3.81,-64.9,       ,       ,-2.7,       ,      ,       ,      ,      ,559.1, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:02,  +08:00,       ,30.4706841,105.6119232,948.2,30.21,949.5,13,66.82,68.48,641.87,8.84,-2.16,-0.03,-0.16,121,127.6,28.1,28.1,0.4,0,23.75,24,15,151.47,76.1,2429.7,256.54,251.63,251.61,272.15,1198.33,1180.36,1177.21,1149.27,812.6,67, NAV1,125,111.6,111.6,129.75,128.5,4.261,       ,3.78,-63.2,       ,       ,-2.7,       ,      ,       ,      ,      ,492.1, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:03,  +08:00,       ,30.4705029,105.6122284,955.2,30.21,954.8,13,67.03,69.53,619.52,9.29,0.77,0.01,-0.08,121.2,126.9,28.1,28.1,0.4,0,23.94,24,15.1,151.48,76.99,2425.4,256.43,251.7,251.57,272.11,1209.31,1195.43,1187.96,1164.59,817.9,68, NAV1,125,111.6,111.6,129.75,128.5,4.619,       ,3.73,-60.8,       ,       ,-2.7,       ,      ,       ,      ,      ,346.5, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:04,  +08:00,       ,30.4703178,105.6125488,960.2,30.21,960.3,13,67.27,70.7,510.62,9.82,-0.21,0,0.04,121.9,126.5,28.1,28.1,0.3,0,24,24,15.18,151.5,76.92,2431.1,256.4,251.84,251.58,272.14,1219.01,1207.53,1196.04,1177.84,823.4,68, NAV1,125,111.6,111.6,129.75,128.5,5.075,       ,3.68,-57.7,       ,       ,-2.7,       ,      ,       ,      ,      ,330.7, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:05,  +08:00,       ,30.4701328,105.6128769,964.2,30.21,966.4,13,67.6,71.73,380.71,9.35,-0.8,-0.03,0.01,122.4,126.5,28.1,28.1,0.3,0,24,24,15.27,151.52,76.55,2431.4,256.42,252.01,251.64,272.22,1226.53,1218.11,1202.98,1187.77,829.6,68, NAV1,125,111.6,111.6,129.75,128.5,5.565,       ,3.63,-54.1,       ,       ,-2.7,       ,      ,       ,      ,      ,374, 3DDiff,3704,      ,63,81,86
2023/4/24, 10:57:06,  +08:00,       ,30.4699459,105.6131973,974.2,30.21,974.6,13,69.35,72.78,415.47,9.1,0.89,-0.03,-0.05,122.7,126,28.1,28.1,0.3,0,24,24,15.06,151.54,76.76,2425.9,256.49,252.29,251.78,272.34,1234.24,1226.49,1208.08,1198.75,837.8,70, NAV1,125,111.6,111.6,129.75,128.5,6.114,       ,3.61,-50.3,       ,       ,-2.7,       ,      ,       ,      ,      ,448.8, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:07,  +08:00,       ,30.4697571,105.613533,980.2,30.21,981.8,13,70.34,73.67,424.04,9.66,3.6,-0.02,0.11,124.2,126,28.1,28.1,0.3,0,24,24,15.2,151.55,76.38,2431.3,256.61,252.59,251.97,272.54,1240.18,1233.99,1212.5,1207.24,844.9,71, NAV1,125,111.6,111.6,129.75,128.5,6.713,       ,3.6,-46.4,       ,       ,-2.7,       ,      ,       ,      ,      ,433.1, 3DDiff,3704,      ,63,80.5,86
2023/4/24, 10:57:08,  +08:00,       ,30.4695625,105.6138535,987.2,30.21,991.6,13,71.42,74.47,389.88,9.17,-0.63,-0.03,0.01,125.3,126.9,28.1,28.1,0.3,0,24,24,15.31,151.56,76.7,2438.8,256.8,252.91,252.19,272.77,1246.01,1240.24,1216.86,1214.12,854.8,72, NAV1,125,111.6,111.6,129.75,128.5,7.379,       ,3.6,-42.6,       ,       ,-2.7,       ,      ,       ,      ,      ,566.9, 3DDiff,3704,      ,63,80,86
2023/4/24, 10:57:09,  +08:00,       ,30.4693642,105.6141891,994.2,30.21,1002.4,13,70.67,75.23,419.42,9.9,-1.65,0.01,0.06,125.5,127,28.1,28.1,0.3,0,24,24,15.19,151.57,77.19,2443.3,257.02,253.28,252.46,273.03,1250.61,1245.78,1221,1220.78,865.6,71, NAV1,125,111.6,111.6,129.75,128.5,8.122,       ,3.61,-39.1,       ,       ,-2.7,       ,      ,       ,      ,      ,629.9, 3DDiff,3704,      ,63,80,86
