#airframe_info, log_version="1.01", airframe_name="Cessna 172S", unit_software_part_number="006-B1177-69", unit_software_version="20.83", system_software_part_number="006-B2501-10", system_id="25BA2E6F4", mode=NORMAL, flightstream_header="25BA2E6F4_20000101_000000", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023/4/24, 07:41:31,  +08:00,  SNVOR,30.4711475,105.6111221,887,30.15,921.4,12,60.98,65.55,209.69,7.14,-0.14,0.01,0.11,122.6,125.2,28,28,1.9,0,23.89,24,14.96,116.33,75.35,2415.3,304.02,314.54,327.62,353.62,1269.13,1302.59,1313.6,1297.79,784.6,61, NAV1,125,111.6,111.6,129.75,128.5,3.463,       ,11.75,-44.9,0.2,168,-2.7,       ,      ,       ,      ,      ,283.5, 3DDiff,3704,      ,46,134,56
2023/4/24, 07:41:32,  +08:00,  SNVOR,30.4709835,105.6114273,887,30.15,928.7,12,61.02,66.46,245.82,7.14,-1.35,0.11,-0.08,125.9,125.3,28,28,1.8,0,23.65,24,14.82,116.4,75.78,2403.3,304.77,315.12,328.3,354.16,1270.52,1303.97,1314.58,1298.77,791.9,61, NAV1,125,111.6,111.6,129.75,128.5,3.688,       ,11.56,-44.4,0.2,171.4,-2.7,       ,      ,       ,      ,      ,425.2, 3DDiff,3704,      ,47,134,56
2023/4/24, 07:41:33,  +08:00,  SNVOR,30.4708099,105.6117249,892,30.15,934.8,12,59.08,67.65,195.9,6.01,-0.16,-0.01,-0.06,122.5,126.3,28.1,28,1.9,0,23.4,24,14.71,116.46,75.67,2415,305.52,315.72,329.01,354.67,1272.87,1305.93,1315.95,1300.06,798,60, NAV1,125,111.6,111.6,129.75,128.5,4.037,       ,11.34,-44,0.2,175.2,-2.7,       ,      ,       ,      ,      ,374, 3DDiff,3704,      ,47,134.5,56
2023/4/24, 07:41:34,  +08:00,  SNVOR,30.4706287,105.6120377,908,30.15,939.3,12,61.91,68.77,446.33,7.12,-0.7,0,0.11,121,126.6,28,28,1.9,0,23.01,24,14.77,116.53,75.91,2400.4,306.28,316.34,329.7,355.28,1275.26,1306.62,1317.23,1300.78,802.4,62, NAV1,125,111.6,111.6,129.75,128.5,4.377,       ,11.1,-43.6,0.2,179.7,-2.7,       ,      ,       ,      ,      ,299.2, 3DDiff,3704,      ,47,135,57
2023/4/24, 07:41:35,  +08:00,  SNVOR,30.4704514,105.6123581,913,30.15,946,12,63.11,69.61,515.25,7.08,-1.11,0.05,-0.02,124.3,126.3,28,28,1.8,0.1,23.01,24,14.78,116.59,75.82,2420.5,307.04,316.97,330.41,355.79,1277.97,1308.66,1319.41,1302.87,809.1,64, NAV1,125,111.6,111.6,129.75,128.5,4.765,       ,10.87,-43.1,0.2,-175.2,-2.7,       ,      ,       ,      ,      ,421.3, 3DDiff,3704,      ,47,135,57
2023/4/24, 07:41:36,  +08:00,  SNVOR,30.4702702,105.6126633,915,30.15,956.7,12,63.36,70.31,364.38,8.03,-1.85,0.03,0.06,125.3,126.4,28,28,1.8,0,22.6,24,14.95,116.64,75.81,2420.9,307.81,317.59,331.1,356.34,1279.51,1310.06,1321.41,1305.13,819.9,64, NAV1,125,111.6,111.6,129.75,128.5,5.241,       ,10.63,-42.6,0.2,-169.6,-2.7,       ,      ,       ,      ,      ,515.7, 3DDiff,3704,      ,46,133,56
2023/4/24, 07:41:37,  +08:00,  SNVOR,30.470089,105.6129761,931,30.15,969.1,12,66.7,70.5,475.69,8.93,-1.76,0.03,0.12,125.7,126.1,28.1,28,1.9,0,22.21,24,14.88,116.7,75.97,2427.1,308.57,318.21,331.81,356.91,1280.32,1310.3,1322.17,1305.86,832.3,67, NAV1,125,111.6,111.6,129.75,128.5,5.753,       ,10.4,-42,0.2,-163.3,-2.7,       ,      ,       ,      ,      ,716.5, 3DDiff,3704,      ,46,133,56
2023/4/24, 07:41:38,  +08:00,  SNVOR,30.4699078,105.6132889,937,30.15,984.3,11.8,66.59,70.19,515.68,9.22,-1.61,0.07,0,126.1,126.3,28,28,1.9,0,21.82,24,14.97,116.75,76.04,2426.4,309.34,318.85,332.5,357.53,1280.65,1311.3,1324.01,1307.17,847.4,67, NAV1,125,111.6,111.6,129.75,128.5,6.305,       ,10.15,-41.4,0.2,-156.4,-2.7,       ,      ,       ,      ,      ,881.9, 3DDiff,3704,      ,46,133.5,56
2023/4/24, 07:41:39,  +08:00,  SNVOR,30.4697227,105.6135941,955,30.15,999.2,11.8,66.61,69.9,652.75,9.6,0,0,0,123,126.9,28,28,1.8,0,21.62,24,14.84,116.8,75.98,2432.3,310.12,319.48,333.2,358.1,1281.84,1312.28,1326.08,1308.44,862.3,67, NAV1,125,111.6,111.6,129.75,128.5,6.907,       ,9.87,-40.9,0.2,-149.2,-2.7,       ,      ,       ,      ,      ,885.8, 3DDiff,3704,      ,47,133.5,56
2023/4/24, 07:41:40,  +08:00,  SNVOR,30.4695435,105.6138992,975,30.15,1014.2,11.8,67.42,69.4,897.25,9.61,-0.12,0.05,-0.03,124.2,127.1,28,28,1.8,0,21.34,23.98,14.73,116.85,75.51,2419.3,310.89,320.11,333.89,358.65,1284.08,1313.65,1327.59,1309.34,877.3,68, NAV1,125,111.6,111.6,129.75,128.5,7.547,       ,9.57,-40.4,0.1,-141.9,-2.7,       ,      ,       ,      ,      ,870.1, 3DDiff,3704,      ,47,134,56
